CNPJ,Nome fornecedor,,,
73312548000140,GRANELMAR LOGISTICA E ARMAZENS,,,
26756350000257,ONNO LOGISTICA LTDA,,,
09604396000150,TERMINAIS DO SUL ARMAZENS GERAIS,,,
85041333000111,TERMINAIS PORTUARIOS DA PONTA,,,
85041333000111,ARMAZENS GERAIS VICTORIA LTDA,,,
85041333000111,NOVATEX ARMAZENS GERAIS LTDA,,,
16716929000313,EQUILIBRIO FERTILIZANTES LTDA,,,
12759673000109,BRFERTIL S A,,,
12759673000370,BRFERTIL S A,,,
87249561002070,UNIFERTIL - UNIVERSAL DE FERTILIZANTES LTDA,,,
14031191000406,HINOVE,,,
10688602000137,SHERLOCK PRODUTOS DE SEGURANCA LTDA,,,
02417230000186,PACKEM SA,,,
04311391000116,TEIXEIRA TEXTIL INDUSTRIA E COM,,,
82270281000167,POLIJUTA INDUSTRIA E COMERCIO DE,,,
00763251000128,RAFITEC S A INDUSTRIA E COMERCIO DE,,,
07988186000188,TECH LABEL INDUSTRIA DE ROTULOS,,,
18268146000188,ARMAZENS GERAIS VICTORIA LTDA,,,
29819557000130,GHS ARMAZENS GERAIS,,,
00117842001280,CIBRAFERTIL COMPANHIA BRASILEIRA,,,
53386683000123,FERTALVO,,,
81716144002437,ROCHA TERMINAIS PORTUARIOS E LOGISTICA,,,
2227264001007,ANDALI GO,,,
96825575001780,INTERMARITIMA,,,
1201578000250,MULTITRANS TRANSPORTES E ARMAZENS,,,
1201578001140,MULTITRANS UBERABA,,,
6225292000147,TERLOC,,,
81716144001031,ROCHA TERMINAIS PORTUARIOS E LOGISTICA,,,
20094607000276,MV FOSFATO,,,
87249561002070,UNIFERTIL,,,
47036511000127,SKYCHEM,,,
26419229000310,DREYMOOR BRASIL COM DE,,,
9608037000929,OUROFERTIL,,,
78937158000856,PIRATINI,,,
53664782000120,MAVI ,,,
22446278000472,campo rico,,,
2119258000218,Fertipar,,,
